,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
531,"Fermín, José",665877,90,129,219,54,60.0,24.7,-1.5,36,40.0,16.4,-3.8,-5.3,79,61.2,36.1,1.6,50,38.8,22.8,-2.5,-0.9,-3.6,-6.1,-2.6,-29.7,59,4
532,"Cabbage, Trey",663550,138,75,213,44,31.9,20.7,-3.1,94,68.1,44.1,-8.2,-11.2,68,90.7,31.9,1.5,7,9.3,3.3,-0.8,0.7,-8.2,-10.5,-2.3,-27.7,62,5
533,"Vavra, Terrin",679631,112,100,212,60,53.6,28.3,-2.7,52,46.4,24.5,-4.7,-7.4,85,85.0,40.1,1.4,15,15.0,7.1,-1.0,0.4,-6.0,-7.0,-1.0,-12.0,76,49
534,"Eaton, Nate",681987,101,105,206,41,40.6,19.9,-2.1,60,59.4,29.1,-5.8,-7.9,92,87.6,44.7,0.6,13,12.4,6.3,-0.9,-0.3,-8.2,-8.2,0.0,0.0,86,86
535,"León, Sandy",506702,92,113,205,20,21.7,9.8,-2.0,72,78.3,35.1,-8.0,-10.0,99,87.6,48.3,-0.2,14,12.4,6.8,-1.5,-1.7,-12.5,-11.7,0.7,9.0,93,98
536,"Wade, Tyler",642180,85,115,200,30,35.3,15.0,-1.6,55,64.7,27.5,-4.3,-5.9,94,81.7,47.0,0.8,21,18.3,10.5,-1.9,-1.1,-7.2,-7.0,0.2,2.4,88,91
537,"Hall, Darick",669742,116,89,205,43,37.1,21.0,-2.1,73,62.9,35.6,-7.6,-9.7,77,86.5,37.6,1.6,12,13.5,5.9,-0.9,0.6,-8.9,-9.1,-0.2,-2.0,85,82
538,"Herrera, Iván",671056,85,115,200,40,47.1,20.0,-0.9,45,52.9,22.5,-4.9,-5.8,90,78.3,45.0,2.5,25,21.7,12.5,-1.2,1.3,-3.0,-4.5,-1.5,-18.9,71,23
539,"Nido, Tomás",621512,122,75,197,15,12.3,7.6,-1.9,107,87.7,54.3,-9.5,-11.3,74,98.7,37.6,0.7,1,1.3,0.5,-0.1,0.6,-7.6,-10.8,-3.2,-40.7,54,1
540,"Thomas, Cody",642137,100,98,198,21,21.0,10.6,-1.9,79,79.0,39.9,-9.4,-11.4,88,89.8,44.4,-0.2,10,10.2,5.1,-0.6,-0.8,-10.1,-12.2,-2.0,-26.2,66,7
541,"Pérez, Carlos",656024,97,100,197,37,38.1,18.8,-2.1,60,61.9,30.5,-5.2,-7.3,79,79.0,40.1,0.8,21,21.0,10.7,-1.1,-0.3,-5.8,-7.5,-1.8,-22.8,68,13
542,"Hill, Derek",656537,88,99,187,26,29.5,13.9,-2.3,62,70.5,33.2,-5.6,-7.9,87,87.9,46.5,1.3,12,12.1,6.4,-0.7,0.6,-6.1,-7.4,-1.3,-17.7,73,26
543,"Paris, Kyren",677347,93,94,187,28,30.1,15.0,-2.1,65,69.9,34.8,-6.0,-8.2,86,91.5,46.0,1.5,8,8.5,4.3,-0.6,0.9,-8.1,-7.3,0.9,11.8,95,99
544,"Luciano, Marco",682617,73,111,184,45,61.6,24.5,-0.8,28,38.4,15.2,-2.4,-3.2,90,81.1,48.9,2.2,21,18.9,11.4,-1.7,0.6,-2.4,-2.6,-0.2,-3.0,85,79
545,"Heineman, Tyler",623168,82,96,178,40,48.8,22.5,-1.6,42,51.2,23.6,-4.1,-5.7,77,80.2,43.3,1.7,19,19.8,10.7,-1.2,0.5,-4.4,-5.2,-0.7,-10.6,81,52
546,"Johnson, Bryce",669369,77,93,170,29,37.7,17.1,-2.0,48,62.3,28.2,-3.7,-5.8,69,74.2,40.6,1.4,24,25.8,14.1,-2.0,-0.5,-4.8,-6.3,-1.5,-21.9,71,15
