XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-1.45,1.55,0.034,0,0.143,0.113,0.037,0.03,0.083,0.062,0.041,-0.062,-0.033,0.318,0.0,0.5,0.043,-0.296,0,-0.16649999999999998,0.032,-0.19849999999999998,-0.1735,0.024,-0.19749999999999998,-0.22299999999999998,0.021,-0.24399999999999997,-0.16549999999999998,0.088,-0.25349999999999995,-0.175,0.048,-0.22299999999999998,-0.23349999999999999,0.038,-0.27149999999999996,-0.179,0.143,-0.32199999999999995,-0.1825,0.064,-0.2465,-0.2525,0.085,-0.3375,-0.2065,0.051,-0.2575,-0.181,0.168,-0.349,-0.295,0.234,-0.529
-1.45,1.65,0.025,0.106,0,0,0.006,0.053,0.057,0,0.004,0.002,0.05,0.402,0.0,0.143,0.039,-0.166,0.0682,-0.05797039999999999,0.032,-0.08997039999999999,-0.07092319999999999,0.024,-0.09492319999999999,-0.152288,0.021,-0.173288,-0.05612,0.088,-0.14412,-0.0736988,0.048,-0.1216988,-0.17028500000000002,0.038,-0.20828500000000003,-0.0811004,0.143,-0.22410039999999998,-0.0875768,0.064,-0.1515768,-0.202851,0.085,-0.287851,-0.1319864,0.051,-0.1829864,-0.08480120000000001,0.168,-0.2528012,-0.27569599999999994,0.234,-0.5096959999999999
-1.45,1.75,0.022,0.03,0.131,0,0.002,0.007,0.087,0.238,-0.099,-0.06,0.062,0.296,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.85,0.032,0.068,0,0,0.027,-0.019,0.074,0.238,-0.123,-0.086,0.033,0.277,0.0,0.214,0.18,-0.155,0.0526,-0.0641982,0.032,-0.0961982,-0.0759386,0.024,-0.09993859999999999,-0.15107,0.021,-0.17207,-0.062521,0.088,-0.150521,-0.07845440000000001,0.048,-0.12645440000000002,-0.16757600000000003,0.038,-0.20557600000000004,-0.0851632,0.143,-0.22816319999999998,-0.0910334,0.064,-0.1550334,-0.197444,0.085,-0.28244400000000003,-0.1312862,0.051,-0.18228619999999998,-0.0885176,0.168,-0.2565176,-0.264254,0.234,-0.498254
-1.45,1.95,0.028,0.014,0,0,0.031,0.0,0.049,0.198,-0.009,-0.048,0.096,0.247,0.0,0.167,0.233,-0.04,0.0488,-0.0393066,0.032,-0.0713066,-0.05165179999999999,0.024,-0.07565179999999999,-0.13163,0.021,-0.15263,-0.037543,0.088,-0.125543,-0.0542972,0.048,-0.1022972,-0.149123,0.038,-0.187123,-0.06135159999999999,0.143,-0.20435159999999997,-0.0675242,0.064,-0.1315242,-0.18077699999999997,0.085,-0.265777,-0.1098506,0.051,-0.1608506,-0.0648788,0.168,-0.2328788,-0.251582,0.234,-0.48558199999999996
-1.45,2.05,0.043,0.053,0.134,0,0.021,0.071,0,0.258,0.022,0.009,0.057,0.14,0.0,0,0,0,0.0702,-0.0395974,0.032,-0.0715974,-0.054580199999999995,0.024,-0.07858019999999999,-0.15,0.021,-0.17099999999999999,-0.037457000000000004,0.088,-0.12545699999999999,-0.0577908,0.048,-0.1057908,-0.171,0.038,-0.20900000000000002,-0.0663524,0.143,-0.2093524,-0.07384380000000001,0.064,-0.13784380000000002,-0.209,0.085,-0.294,-0.1252134,0.051,-0.1762134,-0.07063320000000001,0.168,-0.23863320000000002,-0.294,0.234,-0.528
-1.45,2.15,0.029,0.058,0.134,0,0.047,0.038,0.136,0.379,0.022,-0.009,0.006,-0.044,0.0,0.333,0.213,-0.14,0.0781,-0.07418870000000001,0.032,-0.10618870000000001,-0.0846201,0.024,-0.1086201,-0.14667000000000002,0.021,-0.16767,-0.07269850000000001,0.088,-0.16069850000000002,-0.08685540000000001,0.048,-0.13485540000000001,-0.16067700000000001,0.038,-0.19867700000000002,-0.09281620000000002,0.143,-0.2358162,-0.09803190000000002,0.064,-0.1620319,-0.186023,0.085,-0.271023,-0.13379670000000002,0.051,-0.1847967,-0.09579660000000001,0.168,-0.26379660000000005,-0.242718,0.234,-0.476718
-1.45,2.25,0.048,0.049,0.134,0,-0.063,0.025,0.211,0,-0.042,0.022,-0.082,0.153,0.0,0.417,0.097,-0.254,0.0727,-0.1301789,0.032,-0.1621789,-0.1393587,0.024,-0.1633587,-0.19336799999999998,0.021,-0.21436799999999998,-0.1288675,0.088,-0.2168675,-0.1413258,0.048,-0.1893258,-0.205611,0.038,-0.243611,-0.1465714,0.143,-0.2895714,-0.1511613,0.064,-0.2151613,-0.227765,0.085,-0.312765,-0.1826349,0.051,-0.23363489999999998,-0.1491942,0.168,-0.3171942,-0.27731999999999996,0.234,-0.51132
-1.45,2.35,0.038,0.165,0.11,0.159,0.013,0.052,0.096,0,0.009,-0.01,0.114,0.165,0.0,0.143,0.315,0.57,0.0843,0.046681899999999985,0.032,0.014681899999999984,0.03350369999999999,0.024,0.00950369999999999,-0.04704000000000001,0.021,-0.06804000000000002,0.04856449999999998,0.088,-0.03943550000000001,0.030679799999999986,0.048,-0.017320200000000015,-0.06503700000000003,0.038,-0.10303700000000002,0.023149399999999987,0.143,-0.1198506,0.016560299999999972,0.064,-0.04743970000000003,-0.09760300000000001,0.085,-0.18260300000000002,-0.028622100000000025,0.051,-0.07962210000000003,0.019384199999999983,0.168,-0.14861580000000002,-0.170448,0.234,-0.40444800000000003
-1.45,2.45,0.007,0.054,0.062,0.159,0.017,0.05,0.109,0.238,0.031,-0.011,0.301,0.064,0.0,0.25,0.414,0.102,0.141,-0.007466999999999998,0.032,-0.039467,-0.019940999999999997,0.024,-0.043940999999999994,-0.087,0.021,-0.108,-0.005685000000000006,0.088,-0.093685,-0.022614,0.048,-0.070614,-0.10275000000000001,0.038,-0.14075000000000001,-0.029742,0.143,-0.17274199999999998,-0.03597900000000001,0.064,-0.09997900000000001,-0.13125,0.085,-0.21625,-0.07874700000000001,0.051,-0.129747,-0.033306,0.168,-0.201306,-0.19499999999999998,0.234,-0.429
