,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
120,"Hicks, Aaron",543305,822,1187,2009,58.9,0.8,41.1,-13.9,-13.1,79.7,41.0,20.3,-8.8,32.2,19.1,7.0,12.1,15.3,71.2,66.2,20.3,45.9,38.6,54,75,27,94
121,"Merrifield, Whit",593160,1019,991,2010,54.0,4.0,46.0,-24.7,-20.8,81.5,31.1,18.5,-7.1,24.0,3.2,1.8,1.4,1.8,67.6,59.5,18.5,41.0,35.5,17,14,44,46
122,"Rutschman, Adley",668939,814,1195,2009,52.7,-3.5,47.3,-19.7,-23.2,81.5,42.7,18.5,-8.5,34.2,11.0,1.9,9.1,11.5,69.8,69.4,18.5,50.9,34.2,83,93,44,83
123,"Peña, Jeremy",665161,1099,897,1996,43.1,-7.0,56.9,-31.5,-38.4,85.2,25.9,14.8,-6.2,19.6,-18.8,-12.4,-6.4,-8.1,62.0,61.7,14.8,46.9,28.3,62,30,81,9
124,"Cruz, Nelson",443558,1012,980,1992,47.2,-0.9,52.8,-26.8,-27.7,85.3,33.4,14.7,-5.1,28.3,0.6,0.1,0.5,0.7,66.0,63.6,14.7,48.9,32.5,74,47,81,39
125,"Mateo, Jorge",622761,1053,913,1966,46.8,-5.4,53.2,-27.0,-32.4,83.5,26.2,16.5,-6.4,19.9,-12.5,-8.8,-3.7,-4.8,63.8,60.7,16.5,44.2,30.3,40,21,65,19
126,"Taylor, Chris",621035,989,991,1980,60.2,0.6,39.8,-22.0,-21.4,85.6,34.1,14.4,-4.9,29.2,7.7,-6.9,14.6,18.8,72.9,58.8,14.4,44.3,45.7,41,11,83,98
127,"Grichuk, Randal",545341,1000,977,1977,52.6,7.7,47.4,-24.2,-16.5,78.6,27.7,21.4,-7.1,20.6,4.1,5.4,-1.2,-1.6,65.5,59.4,21.4,38.0,31.2,5,13,19,29
128,"Urías, Luis",649966,853,1121,1974,58.3,0.3,41.7,-17.1,-16.8,79.1,35.8,20.9,-9.4,26.5,9.6,0.9,8.7,11.2,70.1,64.1,20.9,43.2,37.4,34,53,22,81
129,"Donovan, Brendan",680977,743,1217,1960,62.7,-0.1,37.3,-6.4,-6.6,73.9,38.4,26.1,-11.3,27.1,20.6,13.4,7.2,9.3,69.6,65.9,26.1,39.7,36.6,11,72,1,73
