"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
718,518626,"Donaldson, Josh",718,100,0.152,0.267,0.115,0.418,0.284,0.325,0.203,25,165,92.1,11.7,2266,89.3,89.45,86,322,396,0.20000000000000284,6.43,107,151,122,146,305,322,290,"10.1","-10.1"
709,622569,"Reyes, Pablo",709,100,0.287,0.09,0.315,0.377,0.315,0.31,0.265,48,167,86.3,13.4,2280,89.4,89.59,44,296,413,0.19999999999998863,6.46,106,150,110,146,289,318,291,"-2.6","2.6"
704,676369,"Velázquez, Nelson",704,100,0.235,0.352,0.221,0.586,0.369,0.374,0.255,38,162,91,14.4,2236,88.3,88.53,119,353,351,0.20000000000000284,6.39,108,152,120,147,301,327,298,"-10.3","10.3"
696,663898,"Rodgers, Brendan",696,100,0.258,0.129,0.316,0.388,0.307,0.321,0.256,46,178,88.3,4.8,2292,87.9,88.41,85,335,361,0.5,6.43,109,151,121,148,311,328,294,"2.9","-2.9"
690,595453,"Wallach, Chad",690,100,0.199,0.179,0.258,0.378,0.277,0.294,0.213,31,156,86.4,16.1,2266,88.7,88.93,120,345,345,0.20000000000000284,6.48,107,151,120,146,308,324,295,"7.3","-7.3"
687,660757,"Gonzalez, Oscar",687,100,0.214,0.098,0.278,0.312,0.239,0.271,0.237,37,173,88.5,6.4,2222,88.3,88.64,123,405,282,0.29999999999999716,6.51,107,151,123,147,296,321,286,"12.9","-12.9"
682,641511,"Delay, Jason",682,100,0.251,0.096,0.333,0.347,0.296,0.263,0.213,42,167,82,11.7,2254,89.3,89.48,90,351,331,0.20000000000000284,6.39,109,151,119,146,304,317,287,"4.3","-4.3"
682,664238,"Moore, Dylan",682,100,0.207,0.221,0.28,0.428,0.317,0.317,0.203,30,145,89,21.4,2194,88.5,88.71,105,314,368,0.20000000000000284,6.39,107,151,116,146,299,322,290,"2.8","-2.8"
681,594777,"Calhoun, Kole",681,100,0.217,0.159,0.241,0.376,0.286,0.303,0.235,34,157,86.6,19.9,2250,88.9,89.25,75,328,352,0.3999999999999915,6.46,115,145,123,150,287,321,297,"6.3","-6.3"
678,666906,"Alu, Jake",678,100,0.226,0.063,0.291,0.289,0.256,0.283,0.242,36,159,87.8,4.7,2299,89.5,89.81,90,339,339,0.29999999999999716,6.44,115,146,108,151,287,317,300,"11.4","-11.4"
662,606132,"Tapia, Raimel",662,100,0.236,0.101,0.302,0.338,0.293,0.297,0.224,35,148,84.1,0.1,2231,89.6,89.07,94,328,334,-0.5,6.51,113,147,108,150,280,316,302,"5.6","-5.6"
640,596115,"Story, Trevor",640,100,0.203,0.114,0.29,0.316,0.249,0.266,0.21,32,158,87.9,15.5,2346,89.7,89.89,103,325,315,0.20000000000000284,6.46,108,152,121,147,294,324,292,"5.2","-5.2"
